Author Name,Author Affiliation,Country,Article No.,h-index
Mylène Pardoen,CNRS,fr,67,
Rubina Dutta,Chitkara University,in,68,4
Archana Mantri,Chitkara University,in,68,17
Gurjinder Singh,Chitkara University,in,68,6
Martin Peter Strzys,Technische Universität Kaiserslautern,de,69,
Sebastian Kapp,University of Kaiserslautern,de,69,9
Michael Thees,Technische Universität Kaiserslautern,de,69,
Pascal Klein,Georg-August-University Göttingen,de,69,17
Paul Lukowicz,"DFKI, Embedded Intelligence Laboratory",de,69,
Pascal Knierim,"LMU Munchen, Institut fur Informatik",de,69,
Albrecht Schmidt,"LMU Munchen, Institut fur Informatik",de,69,
Jochen Kuhn,Technische Universität Kaiserslautern,de,69,
Alexia Larchen Costuchen,Universitat Politècnica de València (UPV) and Universitat de València (UV),,70,2
Stephen Darling,Queen Margaret University,gb,70,25
Clare Uytman,Queen Margaret University,gb,70,
Hugh McFaul,Open University,gb,71,4
Elizabeth FitzGerald (née Brown),Open University,gb,71,21
Xiuhua Ye,Jiaying University,cn,72,
Xiaotao Wang,Shangqiu Normal University,cn,73,
Andrea J. De Micheli,University Children's Hospital Zürich,ch,74,6
Thomas Valentin,Centre Suisse d'Electronique et de Microtechnique,ch,74,14
Fabio Grillo,ETH Zürich,ch,74,13
Manu Kapur,ETH Zürich,ch,74,
Simone Schuerle,ETH Zürich,ch,74,
Cristian Merino,Pontificia Universidad Católica de Valparaíso,cl,75,
Catalina Iturbe-Sarunic,Universidad Austral de Chile,cl,75,1
Brant G. Miller,University of Idaho,us,75,12
Christine E. Parent,University of Idaho,us,75,
John G. Phillips,University of Idaho,us,75,
Sonia Pino,Pontificia Universidad Católica de Valparaíso,cl,75,
José Miguel Garrido,Pontificia Universidad Católica de Valparaíso,cl,75,
Andoni Arenas,Pontificia Universidad Católica de Valparaíso,cl,75,
Juan Zamora,Pontificia Universidad Católica de Valparaíso,cl,75,
Chen-Wei Chang,Fudan University,cn,76,7
Jun Heo,Louisiana State University,us,76,
"Yeh, (Luke) Shih-Ching",National Central University,tw,76,27
Hui-Ya Han,University of West Florida,us,76,
Li Mengtong,University of Illinois at Urbana-Champaign,us,76,4
Sanika Doolani,University of Texas at Arlington,us,77,6
Luke Owens,University of Texas at Arlington,us,77,
Callen Wessels,University of Texas at Arlington,us,77,
Fillia Makedon,University of Texas at Arlington,us,77,
Christian Moro,Bond University,au,78,17
Zane Stromberga,Bond University,au,78,12
Athanasios Raikos,Bond University,au,78,
Allan Stirling,Bond University,au,78,
Christos Kyrlitsias,Cyprus University of Technology,cy,79,5
Maria Christofi,Cyprus University of Technology,cy,79,8
Despina Michael-Grigoriou,Cyprus University of Technology,cy,79,15
Domna Banakou,New York University Abu Dhabi,United Arab Emirates,79,
Andri Ioannou,Cyprus University of Technology,cy,79,
Simon Bennie,Nanome,gb,80,14
Kara E. Ranaghan,University of Bristol,gb,80,
Helen Deeks,University of Bristol,gb,80,
Heather E. Goldsmith,University of Bristol,gb,80,
Michael B. O’Connor,University of Bristol,gb,80,
Adrian J. Mulholland,University of Bristol,gb,80,
David R. Glowacki,University of Bristol,gb,80,
Rebecca M. Broyer,University of Southern California,us,81,
Kenny Miller,Boise State University,us,81,
Shalini Ramachandran,Chapman University,us,81,2
Sheree Fu,California State University Los Angeles,us,81,
Karen Howell,University of Southern California,us,81,
Steven Cutchin,Boise State University,us,81,
